,freq,sum_rate,popular,unpopular
50,583,2541,1,0
258,509,1936,1,0
100,508,2111,1,0
181,507,2032,1,0
294,485,1531,1,0
286,481,1759,1,0
288,478,1645,1,0
1,452,1753,1,0
300,431,1565,1,0
121,429,1475,1,0
174,420,1786,1,0
127,413,1769,1,0
56,394,1600,1,0
7,392,1489,1,0
98,390,1673,1,0
237,384,1425,1,0
117,378,1396,1,0
172,367,1543,1,0
222,365,1336,1,0
204,350,1342,1,0
313,350,1486,1,0
405,344,1140,1,0
79,336,1359,1,0
210,331,1301,1,0
151,326,1184,1,0
173,324,1352,1,0
69,321,1237,1,0
748,316,987,1,0
168,316,1285,1,0
269,315,1237,1,0
257,303,1135,1,0
195,301,1184,1,0
423,300,1150,1,0
9,299,1165,1,0
318,298,1331,1,0
276,298,1102,1,0
22,297,1233,1,0
302,297,1236,1,0
328,295,1010,1,0
96,295,1182,1,0
15,293,1107,1,0
118,293,942,1,0
25,293,1009,1,0
183,291,1174,1,0
216,290,1134,1,0
176,284,1121,1,0
64,283,1258,1,0
234,280,1057,1,0
202,280,1054,1,0
28,276,1085,1,0
191,276,1149,1,0
89,275,1138,1,0
111,272,948,1,0
275,268,1075,1,0
12,267,1171,1,0
742,267,973,1,0
357,264,1133,1,0
82,261,971,1,0
135,259,1028,1,0
289,259,772,1,0
97,256,971,1,0
238,256,992,1,0
268,255,967,1,0
546,254,770,1,0
196,251,983,1,0
333,251,902,1,0
186,251,963,1,0
70,251,919,1,0
475,250,971,1,0
153,247,935,1,0
132,246,1003,1,0
228,244,931,1,0
125,244,868,1,0
483,243,1083,1,0
144,243,941,1,0
194,241,978,1,0
245,240,746,1,0
323,240,704,1,0
185,239,980,1,0
197,239,981,1,0
11,236,908,1,0
282,232,855,1,0
496,231,952,1,0
568,230,839,1,0
301,230,760,1,0
265,227,877,1,0
655,227,881,1,0
182,226,893,1,0
273,223,796,1,0
143,222,836,1,0
179,221,864,1,0
180,221,894,1,0
471,221,798,1,0
71,220,832,1,0
161,220,766,1,0
8,219,875,1,0
678,219,615,1,0
427,219,940,1,0
95,219,835,1,0
322,218,673,1,0
235,217,618,1,0
435,216,853,1,0
508,215,773,1,0
88,213,754,1,0
215,212,784,1,0
271,211,682,1,0
603,209,917,1,0
4,209,742,1,0
187,209,875,1,0
175,208,794,1,0
385,208,741,1,0
597,206,649,1,0
211,206,806,1,0
200,206,788,1,0
588,202,766,1,0
515,201,845,1,0
403,201,689,1,0
208,200,789,1,0
230,199,686,1,0
134,198,850,1,0
272,198,844,1,0
250,197,685,1,0
527,195,784,1,0
474,194,825,1,0
298,194,731,1,0
284,193,610,1,0
393,192,655,1,0
